timestamp,equipment_id,sensor_id,value,equipment_type,target
2023-08-01 08:00:00,1,S1,25.3,Pump,0
2023-08-01 09:00:00,1,S1,25.6,Pump,0
2023-08-01 10:00:00,1,S1,25.1,Pump,0
2023-08-01 11:00:00,1,S1,24.8,Pump,0
2023-08-01 12:00:00,1,S1,24.9,Pump,0
2023-08-01 08:00:00,2,S1,31.2,Motor,0
2023-08-01 09:00:00,2,S1,31.5,Motor,0
2023-08-01 10:00:00,2,S1,31.3,Motor,0
2023-08-01 11:00:00,2,S1,31.6,Motor,0
2023-08-01 12:00:00,2,S1,31.4,Motor,0
2023-08-01 08:00:00,1,S2,0.6,Pump,1
2023-08-01 09:00:00,1,S2,0.4,Pump,1
2023-08-01 10:00:00,1,S2,0.7,Pump,1
2023-08-01 11:00:00,1,S2,0.5,Pump,1
2023-08-01 12:00:00,1,S2,0.8,Pump,1
2023-08-01 08:00:00,2,S2,1.2,Motor,1
2023-08-01 09:00:00,2,S2,1.1,Motor,1
2023-08-01 10:00:00,2,S2,1.3,Motor,1
2023-08-01 11:00:00,2,S2,1.4,Motor,1
2023-08-01 12:00:00,2,S2,1.5,Motor,1
